empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,BAAD09000,2,2,TENSIÓN,A,AT
18,BAAD09000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD09000,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD09000,5,9,Volumen,09000,En dm3
18,BAAJ00832,1,1,ítem,B,CÁMARAS
18,BAAJ00832,2,2,TENSIÓN,A,AT
18,BAAJ00832,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ00832,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ00832,5,9,Volumen,00832,En dm3
18,BAAJ01000,1,1,ítem,B,CÁMARAS
18,BAAJ01000,2,2,TENSIÓN,A,AT
18,BAAJ01000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ01000,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ01000,5,9,Volumen,01000,En dm3
18,BAAJ01778,1,1,ítem,B,CÁMARAS
18,BAAJ01778,2,2,TENSIÓN,A,AT
18,BAAJ01778,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ01778,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ01778,5,9,Volumen,01778,En dm3
18,BAAJ02156,1,1,ítem,B,CÁMARAS
18,BAAJ02156,2,2,TENSIÓN,A,AT
18,BAAJ02156,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ02156,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ02156,5,9,Volumen,02156,En dm3
18,BAAJ02275,1,1,ítem,B,CÁMARAS
18,BAAJ02275,2,2,TENSIÓN,A,AT
18,BAAJ02275,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ02275,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ02275,5,9,Volumen,02275,En dm3
18,BAAJ02744,1,1,ítem,B,CÁMARAS
18,BAAJ02744,2,2,TENSIÓN,A,AT
18,BAAJ02744,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ02744,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ02744,5,9,Volumen,02744,En dm3
18,BAAJ02940,1,1,ítem,B,CÁMARAS
18,BAAJ02940,2,2,TENSIÓN,A,AT
18,BAAJ02940,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ02940,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ02940,5,9,Volumen,02940,En dm3
18,BAAJ03060,1,1,ítem,B,CÁMARAS
18,BAAJ03060,2,2,TENSIÓN,A,AT
18,BAAJ03060,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ03060,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ03060,5,9,Volumen,03060,En dm3
18,BAAJ03432,1,1,ítem,B,CÁMARAS
18,BAAJ03432,2,2,TENSIÓN,A,AT
18,BAAJ03432,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ03432,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ03432,5,9,Volumen,03432,En dm3
18,BAAJ04440,1,1,ítem,B,CÁMARAS
18,BAAJ04440,2,2,TENSIÓN,A,AT
18,BAAJ04440,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ04440,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ04440,5,9,Volumen,04440,En dm3
18,BAAJ04480,1,1,ítem,B,CÁMARAS
18,BAAJ04480,2,2,TENSIÓN,A,AT
18,BAAJ04480,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAJ04480,4,4,UBICACIÓN,J,Jardines o áreas ver
18,BAAJ04480,5,9,Volumen,04480,En dm3
